id,source,text,created_at
84,x,@aureise Aku ada new ss sunscreen amaterasun cream ungu 35k dom bogor,Sat Jun 07 02:27:12 +0000 2025
85,x,@aephrodhite New ss sunscreen amaterasun cream ungu 35k dom bogor https://t.co/hQYYLXJ8Gz,Sat Jun 07 01:08:31 +0000 2025
86,x,physical sunscreen nya amaterasun buat combi to oily skin bagus nggaaa?,Fri Jun 06 15:51:44 +0000 2025
87,x,mauu sunscreen amaterasun co skrg guys,Fri Jun 06 13:01:59 +0000 2025
88,x,WTS sunscreen amaterasun sunscreen cream. Spf50f for normal skin - dry masih seal 40k dom bekasi bisa orenn? https://t.co/StZEXHhMK2,Fri Jun 06 08:16:47 +0000 2025
89,x,sunscreen yg enak buat oily skin mending unitary or amaterasun???,Fri Jun 06 06:57:59 +0000 2025
90,x,amaterasun tolong buat physical sunscreen ukuran 100ml,Fri Jun 06 05:18:58 +0000 2025
91,x,@prkjiyrraas Aku ada ini new wts ss sunscreen amaterasun cream 35k dom bogor https://t.co/lCslmltvad,Fri Jun 06 04:36:40 +0000 2025
92,x,1 pcs 62k 2 pcs 66k BURUAN AMATERASUN PHYSICAL SUNSCREEN ? potong koin lazada + voc + voc toko https://t.co/UyhFzDv8yn https://t.co/CQzFdpZwuJ,Thu Jun 05 18:52:53 +0000 2025
93,x,@isapwetty82 aku ada amaterasun yg uv sunscreen cream spf 50 29k ajaa https://t.co/zJgaovUIxg,Thu Jun 05 17:46:18 +0000 2025
94,x,[Info diskon] Lazada potongan koin 35% AMATERASUN [REAL SPF Certified] [2 PCS] UV Sunscreen Serum SPF 50+ PA++ https://t.co/xj6Ud5Nlln https://t.co/L0mov0qBNz,Thu Jun 05 15:35:26 +0000 2025
95,x,@Mawrcellaa pen coba deh blm sempet coba sunscreen amaterasun,Thu Jun 05 13:57:59 +0000 2025
96,x,Cek AMATERASUN [REAL SPF Certified] [RESELLER] UV Sunscreen Serum &amp; UV Body Sunscreen dengan harga Rp276.000. Dapatkan di Shopee sekarang! https://t.co/PCpQ1mfEIH https://t.co/QIE5fVJG50,Thu Jun 05 13:21:01 +0000 2025
97,x,Cek AMATERASUN [REAL SPF Certified] [3 PCS] UV Sunscreen Serum SPF 50+ PA++ dengan harga Rp196.000. Dapatkan di Shopee sekarang! https://t.co/Syng1WLLos https://t.co/MRyODzQ0RX,Thu Jun 05 13:20:56 +0000 2025
98,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Transparent Sunscreen Moisturizer SPF 43 PA+++ All Skin dengan harga Rp145.500. Dapatkan di Shopee sekarang! https://t.co/dMhqhY8JAp https://t.co/HtRp6X8W0Z,Thu Jun 05 13:20:51 +0000 2025
99,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] 30gr Physical Sunscreen SPF 50+ PA++++ dengan harga Rp153.200. Dapatkan di Shopee sekarang! https://t.co/ZyTJ7WH4xH https://t.co/vusaH6mpjX,Thu Jun 05 07:52:45 +0000 2025
100,x,Amaterasun Sunscreen Yang Bikin Putih Tapi Ga Bikin Abu Abu Monyet yang harus banget aku pake tiap hari https://t.co/0B02q5RWtA https://t.co/w4Qfyvyym0,Thu Jun 05 06:08:04 +0000 2025
101,x,Kulit magrib kaya aku ga usah wory dong tetep bisa pake Amaterasun Sunscreen Yang Bikin Putih biar kulit tetap terawat https://t.co/JWMuA0xX44 https://t.co/6WQJMN7er2,Thu Jun 05 06:06:55 +0000 2025
102,x,Amaterasun Sunscreen Yang Bikin Putih Tapi Ga Bikin Abu Abu Monyet aman banget buat kulit kering kaya kulitku https://t.co/neu9SGsbbP https://t.co/wulHwO6RzW,Thu Jun 05 06:05:40 +0000 2025
103,x,Jujurly ya besty buat aku cuma Amaterasun Sunscreen Yang Bikin Putih warna kulit merata dan ringan banget teksturnya ga lengket https://t.co/Z102FNIViL https://t.co/5sd4IdBZsW,Thu Jun 05 06:04:31 +0000 2025
104,x,Amaterasun Sunscreen Yang Bikin Putih water resistand banget ya ga meleleh dibawa renang juga https://t.co/ZHiSAMMo41 https://t.co/dAJdqezTaK,Thu Jun 05 06:03:16 +0000 2025
105,x,Sunscreen yang mencerahkan dan aman bagi kulit sensitif cuma Amaterasun Susncreen Yang Bikin Putih https://t.co/hkMkP6eDyk https://t.co/Wcc8P3VZK2,Thu Jun 05 06:02:02 +0000 2025
106,x,Sunscreen yang bisa banget jadi foundi dan warnanya sesuai dengan warna kulit kita ya Amaterasun susncreen yang bikin putih tapi ga bikin abu abu monyet https://t.co/RlmTnBcZBR https://t.co/By8ZPsOBTq,Thu Jun 05 06:00:37 +0000 2025
107,x,Cowo juga harus bisa memprotek kulit dong makanya pake AMATERASUN SUNSCREEN YANG BIKIN PUTIH https://t.co/WyeiUtOMHZ https://t.co/sJBWErX12T,Thu Jun 05 05:59:09 +0000 2025
108,x,muka belang gegara mantai kemari tapi untungnya sekarang aku pake AMATERASUN SUNSCREEN BIKIN PUTIH jadi bisa rata lagi deh warna kulitku https://t.co/6VHRvwqVhW https://t.co/aIQ1sBUFnq,Thu Jun 05 05:57:21 +0000 2025
109,x,Jangan ngaku cowo keren kalo blom pake Amaterasun Sunscreen yang Bikin Putih Tapi Ga Bikin Abu? Monyet https://t.co/3HDuDWQnfr https://t.co/PxkEScFFNb,Thu Jun 05 05:45:21 +0000 2025
110,x,dari balita sampe yang tua dari cewe sampe cowo ini sunscreen bisa bnaget dipake yaph Amaterasun Sunscreen yang bikin putih https://t.co/dM4OcwnTdU https://t.co/kKWpiTx10F,Thu Jun 05 05:44:00 +0000 2025
111,x,Tekstur yang mudah di apply dan water resistand ya Amaterasun Sunscreen Yang Bikin Putih https://t.co/8jo9w9wZzy https://t.co/rc2y6tI3hG,Thu Jun 05 05:42:40 +0000 2025
112,x,bikin cantik putih dan melindungi kulit ya AMATERASUN SUNSCREEN YANG BIKIN PUTIH TAPI GA BIKIN ABU ABU MONYET https://t.co/wioRSUsREG https://t.co/UhgOlWc8EQ,Thu Jun 05 05:39:36 +0000 2025
113,x,kini kepanasan saat olahraga ga bikin wajah meleleh karena aku pake AMATERASUN SUNSCREEN YANG BIKIN PUTIH https://t.co/fpPeJCwUjA https://t.co/tgNHUcCnsQ,Thu Jun 05 05:37:44 +0000 2025
114,x,Amaterasun Sunscreen Yang Bikin Putih nyaman banget aku pake daily memprotek kulitku diruangan ac kantorku https://t.co/xWZYFWOZQG https://t.co/Nhm3aMP89X,Thu Jun 05 05:35:26 +0000 2025
115,x,Ini physical sunscreen dari Amaterasun ? Meskipun kandungan SPF-nya cukup tinggi (SPF 50+ PA+++) tapi ini aman banget di kulitku ga bikin makin breakout! Ini juga aman dipakai bayi mulai usia 1 tahun. https://t.co/QK9GRs4gak,Thu Jun 05 05:24:18 +0000 2025
116,x,Gua dlu suka ganti ganti sunscreen karna g nemu yg pas tp akhirnya di saranin tmn pke Amaterasun sunscreen bikin putih bnrn bikin kulit jd lbih cerah https://t.co/171ksU4pSG https://t.co/211pe2jZez,Thu Jun 05 05:08:13 +0000 2025
117,x,Semenjak nemu Amaterasun sunscreen bikin putih jd g bingung lg milih sunscreen yg bisa cerahin kulit https://t.co/Fj37m1KrPU https://t.co/xIgVFsAEPo,Thu Jun 05 05:06:13 +0000 2025
118,x,Aku dlu bingung bgt milih sunscreen smpe akhirnya aku nemu Amaterasun sunscreen bikin putih tapi gak bikin abu? monyet suka bgt sm sunscreen inii https://t.co/QQJRt723Rc https://t.co/rtFDy9K4Sw,Thu Jun 05 05:04:45 +0000 2025
119,x,Gue udah coba banyak tone up tapi yang paling nyatu tuh ini. Amaterasun sunscreen bikin putih dan gak dempul sama sekali. https://t.co/NGTLTxR4YV https://t.co/v2ceRvPCF2,Thu Jun 05 05:04:08 +0000 2025
120,x,Ini sih holy grail gue sekarang. Amaterasun sunscreen bikin putih dan ngebantu kulit kusam gue keliatan hidup lagi. https://t.co/c8OYoJgNl5 https://t.co/REJdOyfJ55,Thu Jun 05 05:03:41 +0000 2025
